artist,song
Beto Quintanilla,Patricia Cuellar
Beto Quintanilla,El Jefe Belisario
Beto Quintanilla,Omar Gonzalez
El As De La Sierra,Que Viva La Polvadera
Beto Quintanilla,Mauro Garcia
Beto Quintanilla,Alfredo Venegas
Beto Quintanilla,Yo Quisiera Saber
Beto Quintanilla,La Oscurita Del Carmen
Beto Quintanilla,Pobrecita Huerfanita
Beto Quintanilla,Mauricio Torres
Beto Quintanilla,Anastacio Pacheco
Antonio Aguilar,El Adolorido
Antonio Aguilar,El Dicharachero
Antonio Aguilar,Ya Supe Lupe
Antonio Aguilar,Ya Viene Amaneciendo
Antonio Aguilar,Canción Mixteca
Antonio Aguilar,Gabino Barrera
Antonio Aguilar,Cheque Al Portador
Antonio Aguilar,Hace Un Año
Antonio Aguilar,Copitas De Mezcal
Antonio Aguilar,Caballo Prieto Afamado
Los Huracanes Del Norte,Sangre De Gallo
Los Rieleros Del Norte,El Carretonero
Jenni Rivera,Que Me Entierren Con La Banda
Grupo Exterminador,El Toro Grande
Exterminador,Las Pompis De Mi Güera
Banda Machos,Leña De Pirul
Banda Machos,El Viejo Joven
Banda Machos,No Soy Monedita De Oro
Banda Machos,La Culebra
Banda Machos,Un Indio Quiere Llorar
Banda Machos,La Cosita
Banda Machos,Petronila La Chilanga
Banda Machos,Pacas De A Kilo
Banda Machos,Serian Las Dos
Banda Machos,El Cuaco Chano
Banda Machos,Traficantes Michoacanos
Exterminador,Las Pompis De Mi Guera
Los Tigres Del Norte,Necesito Mi Libertad
Los Tigres Del Norte,Al Mil Por Uno
Los Tigres Del Norte,Me Declaro Culpable
Los Tigres Del Norte,Al Sur Del Bravo
Los Tigres Del Norte,A Quien Corresponda
Los Tigres Del Norte,"Tu, Yo Y La Luna"
Los Tigres Del Norte,Pokar Alto
Los Tigres Del Norte,Un Hasta Aquí
Los Tigres Del Norte,El Aguilillo
Los Tigres Del Norte,De Harina Y De Maíz
Los Tigres Del Norte,Leña Del Arbol Caído
Los Tigres Del Norte,La Inflación
Los Tigres Del Norte,La Loba
Antonio Aguilar,Tampico Hermoso
Antonio Aguilar,Te He De Querer
Antonio Aguilar,Que Te Falta Mujer
Antonio Aguilar,Echenle Un Quinto Al Piano
Antonio Aguilar,Noviando En Lo Obscurito
Antonio Aguilar,El Cantador
Antonio Aguilar,Pero Hombre Amigo (El Chubasco)
Antonio Aguilar,Me Importa Poco
Antonio Aguilar,El Moro De Cumpas
Julio Jaramillo,Te Odio Y Te Quiero
Julio Jaramillo,Olvidala Amigo
Julio Jaramillo,Odiame
Julio Jaramillo,Usted
Julio Jaramillo,Azabache
Julio Jaramillo,Nuestro Juramento
Julio Jaramillo,De Cigarro En Cigarro
Julio Jaramillo,Fatalidad
Julio Jaramillo,El Divorcio
Julio Jaramillo,Amar Y Vivir
Julio Jaramillo,Pequeñita
Julio Jaramillo,Por La Vuelta
Julio Jaramillo,Amor Sin Esperanza
Julio Jaramillo,En Un Bote de Vela
Julio Jaramillo,Odio En La Sangre
Julio Jaramillo,Sombras
Julio Jaramillo,Muñequita De Cristal
Luis Y Julian,La Banda De Los Zurrones
Luis Y Julian,El Hijo De Su
Luis Y Julian,Anda La Perra Muy Brava
Banda Machos,Mil Copas
Banda Machos,Ya No Me Dejo
Banda Machos,Mi Guitarra Y Yo
Banda Machos,Amorcito
Banda Machos,Me Llamo Raquel
Banda Machos,Los Dos Zacatecanos
Banda Machos,A Capa Y Espada
David Zaizar,Indita Mia
David Zaizar,Flor Silvestre
David Zaizar,Esta Tristeza Mía
David Zaizar,El Abandonado
David Zaizar,Sueño
David Zaizar,Albur de Amor
David Zaizar,Hace Un Año
David Zaizar,Hay Unos Ojos
David Zaizar,El Prófugo
David Zaizar,Anillo de Compromiso
David Zaizar,Estrellita Marinera
Banda Maguey,Mi Gran Amor
Banda Maguey,Linda Caribeña
Banda Maguey,Qué Bonito Amor
Banda Maguey,Sopita De Letras
