artist,song,year,i_AR,i_MO,i_DI,i_PO,i_NA,i_GO,IIA_global
Antonio Aguilar,El Grano de Oro,1988,0.0,0.0,0.3333333333333333,0.0,0.0,0.3333333333333333,0.1111111111111111
Antonio Aguilar,El Hijo Desobediente,1997,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Antonio Aguilar,El Hijo Desobediente,2007,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Antonio Aguilar,El Mayor De Los Dorados,1984,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Antonio Aguilar,El Mayor De Los Dorados,2003,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Antonio Aguilar,El Moro De Cumpas,1984,0.0,0.0,0.2857142857142857,0.0,0.0,0.2857142857142857,0.09523809523809523
Antonio Aguilar,El Moro De Cumpas,2000,0.0,0.0,0.2857142857142857,0.0,0.0,0.2857142857142857,0.09523809523809523
Antonio Aguilar,El Moro De Cumpas,2003,0.0,0.0,0.2857142857142857,0.0,0.0,0.2857142857142857,0.09523809523809523
Antonio Aguilar,El Moro De Cumpas,2006,0.0,0.0,0.2857142857142857,0.0,0.0,0.2857142857142857,0.09523809523809523
Antonio Aguilar,El Moro De Cumpas,2007,0.0,0.0,0.2857142857142857,0.0,0.0,0.2857142857142857,0.09523809523809523
Antonio Aguilar,El Moro De Cumpas,2014,0.0,0.0,0.2857142857142857,0.0,0.0,0.2857142857142857,0.09523809523809523
Antonio Aguilar,El Ojo De Vidrio,1984,0.625,0.0,0.0,0.0,0.0,1.25,0.3125
Antonio Aguilar,El Palenque,2014,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Antonio Aguilar,El Palenque Del Diablo,2014,0.0,0.0,0.0,0.0,0.0,1.0,0.16666666666666666
Antonio Aguilar,El Patas Blancas,1972,0.0,0.0,0.0,0.0,0.0,0.4,0.06666666666666667
Antonio Aguilar,El Patas Blancas,2003,0.0,0.0,0.0,0.0,0.0,0.4,0.06666666666666667
Antonio Aguilar,El Perro Negro,2003,2.25,0.0,0.25,0.0,0.0,0.0,0.41666666666666663
Antonio Aguilar,El Rey Del Corral,2006,1.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666
Antonio Aguilar,El Siete Leguas,1972,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.05555555555555555
Antonio Aguilar,El Siete Leguas,1984,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.05555555555555555
Antonio Aguilar,El Siete Leguas,2003,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.05555555555555555
Antonio Aguilar,El Siete Leguas,2014,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.05555555555555555
Antonio Aguilar,Fusilamiento Del General Felipe Angeles,2003,0.6,0.0,0.0,0.0,0.0,0.6,0.2
Antonio Aguilar,Gabino Barrera,1984,1.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666
Antonio Aguilar,Gabino Barrera,1997,1.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666
Antonio Aguilar,Gabino Barrera,2000,1.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666
Antonio Aguilar,Gabino Barrera,2003,1.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666
Antonio Aguilar,Gabino Barrera,2007,1.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666
Antonio Aguilar,Gallero De Corazon,2014,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Antonio Aguilar,General Benjamín Argumedo,1984,0.0,0.0,0.0,0.0,0.0,1.0,0.16666666666666666
Antonio Aguilar,Jacinto Treviño,1988,1.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.2222222222222222
Antonio Aguilar,Jose Silva Sanchez,1988,1.5,0.0,0.0,0.0,0.0,0.0,0.25
Antonio Aguilar,Juan Charrasqueado,1984,0.5555555555555556,0.0,0.3333333333333333,0.0,0.0,0.0,0.14814814814814814
Antonio Aguilar,Juan Charrasqueado,1997,0.5555555555555556,0.0,0.3333333333333333,0.0,0.0,0.0,0.14814814814814814
Antonio Aguilar,Juan Charrasqueado,2003,0.5555555555555556,0.0,0.3333333333333333,0.0,0.0,0.0,0.14814814814814814
Antonio Aguilar,Justicia A Villa,2003,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.05555555555555555
Antonio Aguilar,La Güera Chabela,1988,1.6,0.0,0.0,0.0,0.0,0.0,0.26666666666666666
Antonio Aguilar,La Güera Chabela,2002,1.6,0.0,0.0,0.0,0.0,0.0,0.26666666666666666
Antonio Aguilar,La Güera Chabela,2003,1.6,0.0,0.0,0.0,0.0,0.0,0.26666666666666666
Antonio Aguilar,La Martina,1972,0.6,0.0,0.0,0.0,0.0,0.0,0.1
Antonio Aguilar,La Martina,1984,0.6,0.0,0.0,0.0,0.0,0.0,0.1
Antonio Aguilar,La Toma De Zacatecas,1984,1.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666
Antonio Aguilar,La Toma De Zacatecas,2003,1.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666
Antonio Aguilar,La Viuda Alegre,1988,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Antonio Aguilar,La Viuda Alegre,2002,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Antonio Aguilar,La Yegua Bikina,2006,0.0,0.0,0.5,0.0,0.0,0.0,0.08333333333333333
Antonio Aguilar,Lamberto Quintero,2000,0.6,0.0,0.0,0.0,0.0,0.4,0.16666666666666666
Antonio Aguilar,Lamberto Quintero,2007,0.6,0.0,0.0,0.0,0.0,0.4,0.16666666666666666
Antonio Aguilar,Luis Pulido,2006,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.1111111111111111
Antonio Aguilar,Margarita La De Tijuana,1980,0.7272727272727273,0.0,0.18181818181818182,0.0,0.0,0.18181818181818182,0.1818181818181818
Antonio Aguilar,Mi Caballo El Caudillo,2006,0.0,0.0,0.0,0.0,0.0,0.2857142857142857,0.047619047619047616
Antonio Aguilar,Mi Prieta Pretenciosa,2006,0.0,0.0,0.0,0.0,0.0,1.0,0.16666666666666666
Antonio Aguilar,Muerte En El Coleadero,2006,0.0,0.0,0.0,0.0,0.0,0.5714285714285714,0.09523809523809523
Antonio Aguilar,Noviando En Lo Obscurito,1983,0.0,0.0,0.0,0.0,0.0,1.5,0.25
Antonio Aguilar,Noviando En Lo Obscurito,2000,0.0,0.0,0.0,0.0,0.0,1.5,0.25
Antonio Aguilar,Noviando En Lo Obscurito,2006,0.0,0.0,0.0,0.0,0.0,1.5,0.25
Antonio Aguilar,Noviando En Lo Obscurito,2007,0.0,0.0,0.0,0.0,0.0,1.5,0.25
Antonio Aguilar,Pánfilo Natera,1984,0.0,0.0,0.3333333333333333,0.0,0.0,0.3333333333333333,0.1111111111111111
Antonio Aguilar,Que Me Entierren Con La Banda,1998,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Antonio Aguilar,Que Me Entierren Con La Banda,2000,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Antonio Aguilar,Que Me Entierren Con La Banda,2007,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Antonio Aguilar,Que Te Ha Dado Esa Mujer,1983,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Antonio Aguilar,Que Te Ha Dado Esa Mujer,2007,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Antonio Aguilar,Rosendo Cruz (El Lobo),2006,0.25,0.0,0.0,0.0,0.0,0.0,0.041666666666666664
Antonio Aguilar,Rosita Alvirez,2003,0.9,0.0,0.0,0.0,0.0,0.0,0.15
Antonio Aguilar,Rosita Alvirez,2007,0.9,0.0,0.0,0.0,0.0,0.0,0.15
Antonio Aguilar,Sangre Caliente,2002,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Antonio Aguilar,Tampico Hermoso,1970,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Antonio Aguilar,Tampico Hermoso,1983,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Antonio Aguilar,Tampico Hermoso,1997,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Antonio Aguilar,Tampico Hermoso,2000,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Antonio Aguilar,Tampico Hermoso,2006,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Antonio Aguilar,Tampico Hermoso,2007,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Antonio Aguilar,Tres Dias,2003,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Antonio Aguilar,Valente Quintero,1984,0.6666666666666666,0.0,0.3333333333333333,0.0,0.0,0.0,0.16666666666666666
Antonio Aguilar,Valente Quintero,1988,0.6666666666666666,0.0,0.3333333333333333,0.0,0.0,0.0,0.16666666666666666
Antonio Aguilar,Valente Quintero,2002,0.6666666666666666,0.0,0.3333333333333333,0.0,0.0,0.0,0.16666666666666666
Antonio Aguilar,Valentín De La Sierra,2003,0.0,0.0,0.0,0.0,0.0,0.5,0.08333333333333333
Bad Bunny,Bokete,2025,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bad Bunny,Café Con Ron,2025,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bad Bunny,Callaíta,2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bad Bunny,Dakiti,2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bad Bunny,Diles,2021,0.4,0.0,0.0,0.0,0.0,0.0,0.06666666666666667
